Word 1,Word 2,Risultati
dollar,loss,31
computer,software,28
network,hardware,36
phone,equipment,40
equipment,maker,34
luxury,car,26
five,month,36
report,gain,39
investor,earning,34
liquid,water,40
baseball,season,31
game,victory,34
game,team,36
marathon,sprint,37
game,series,38
game,defeat,40
seven,series,37
seafood,sea,33
seafood,food,40
seafood,lobster,40
lobster,food,40
lobster,wine,31
food,preparation,34
video,archive,32
start,year,35
start,match,39
game,round,40
boxing,round,39
championship,tournament,38
fighting,defeating,40
line,insurance,33
day,summer,39
summer,drought,37
summer,nature,36
day,dawn,40
nature,environment,35
environment,ecology,40
nature,man,37
man,woman,38
man,governor,35
murder,manslaughter,38
soap,opera,35
opera,performance,37
life,lesson,31
focus,life,35
production,crew,31
television,film,36
lover,quarrel,30
viewer,serial,35
possibility,girl,30
population,development,34
morality,importance,36
morality,marriage,33
Mexico,Brazil,40
gender,equality,33
change,attitude,36
family,planning,35
opera,industry,34
sugar,approach,36
practice,institution,40
ministry,culture,33
problem,challenge,35
size,prominence,35
country,citizen,31
planet,people,33
development,issue,37
experience,music,36
music,project,37
glass,metal,39
aluminum,metal,40
chance,credibility,36
exhibit,memorabilia,33
concert,virtuoso,37
rock,jazz,38
museum,theater,34
observation,architecture,35
space,world,38
preservation,world,36
admission,ticket,34
shower,thunderstorm,34
shower,flood,36
weather,forecast,38
disaster,area,32
governor,office,31
architecture,century,30
